Target,PacketSize,Mode,IntervalMs,SentOriginal,SentTotal,Received,Retransmitted,ReceivedAfterRetry,Corrupted,PacketLoss
1.1.1.1,512,1,84,50,50,50,0,0,0,
1.1.1.1,512,1,83,50,50,50,0,0,0,
1.1.1.1,512,1,82,50,50,50,0,0,0,
1.1.1.1,512,1,81,50,50,50,0,0,0,
1.1.1.1,512,1,80,50,50,50,0,0,0,
1.1.1.1,512,1,79,50,50,50,0,0,0,
1.1.1.1,512,1,78,50,50,50,0,0,0,
1.1.1.1,512,1,77,50,50,50,0,0,0,
1.1.1.1,512,1,76,50,50,50,0,0,0,
1.1.1.1,512,1,75,50,50,50,0,0,0,
1.1.1.1,512,1,74,50,50,50,0,0,0,
1.1.1.1,512,1,73,50,50,50,0,0,0,
1.1.1.1,512,1,72,50,50,50,0,0,0,
1.1.1.1,512,1,71,50,50,50,0,0,0,
1.1.1.1,512,1,70,50,50,50,0,0,0,
1.1.1.1,512,1,69,50,50,50,0,0,0,
1.1.1.1,512,1,68,50,50,50,0,0,0,
1.1.1.1,512,1,67,50,50,50,0,0,0,
1.1.1.1,512,1,66,50,50,50,0,0,0,
1.1.1.1,512,1,65,50,50,50,0,0,0,
1.1.1.1,512,1,64,50,50,50,0,0,0,
1.1.1.1,512,1,63,50,50,50,0,0,0,
1.1.1.1,512,1,62,50,50,50,0,0,0,
1.1.1.1,512,1,61,50,50,50,0,0,0,
1.1.1.1,512,1,60,50,50,50,0,0,0,
1.1.1.1,512,1,59,50,50,50,0,0,0,
1.1.1.1,512,1,58,50,50,50,0,0,0,
1.1.1.1,512,1,57,50,50,50,0,0,0,
1.1.1.1,512,1,56,50,50,50,0,0,0,
1.1.1.1,512,1,55,50,50,50,0,0,0,
1.1.1.1,512,1,54,50,50,50,0,0,0,
1.1.1.1,512,1,53,50,50,50,0,0,0,
1.1.1.1,512,1,52,50,50,50,0,0,0,
1.1.1.1,512,1,51,50,50,50,0,0,0,
1.1.1.1,512,1,50,50,50,50,0,0,0,
1.1.1.1,512,1,49,50,50,50,0,0,0,
1.1.1.1,512,1,48,50,50,50,0,0,0,
1.1.1.1,512,1,47,50,50,50,0,0,0,
1.1.1.1,512,1,46,50,50,50,0,0,0,
1.1.1.1,512,1,45,50,50,50,0,0,0,
1.1.1.1,512,1,44,50,50,50,0,0,0,
1.1.1.1,512,1,43,50,50,50,0,0,0,
